,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,species,16-Jan-21,18-Feb-21,16-Mar-21,14-Apr-21,23-Apr-21,05-May-21,12-May-21,26-May-21,31-May-21,12-Jun-21,22-Jun-21,30-Jun-21,16-Jul-21,02-Aug-21,17-Aug-21,04-Sep-21,20-Sep-21,29-Sep-21,10-Oct-21,25-Oct-21,30-Oct-21,07-Nov-21,14-Nov-21,29-Nov-21,14-Dec,31-Dec,,totals
Geometridae,willow beauty,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Geometridae,mottled umber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1
Geometridae,clouded silver,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Geometridae,bordered white,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Geometridae,light emerald,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,2
Geometridae,large emerald,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Hepialidae,orange swift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
Lasiocampidae,december moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,,7
Limacocidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Noctuidae,spectacle,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,beautiful golden Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,plain golden Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,gold spot,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,,7
Noctuidae,silver Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,poplar grey,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3
Noctuidae,grey daggers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,3
Noctuidae,anomalous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,copper underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,,6
Noctuidae,mouse moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,green brindled crescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
Noctuidae,early grey,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,uncertain,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,,17
Noctuidae,rustic,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,,7
Noctuidae,angle shades,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,rosy rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,flounced rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,3
Noctuidae,dusky brocade,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,dark arches,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,5
Noctuidae,common rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,lesser common rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,marbled minor,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,,9
Noctuidae,rufous minor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,middle barred minor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,pink barred sallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
Noctuidae,beaded chestnut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
Noctuidae,brown spot pinion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
Noctuidae,red line quaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
Noctuidae,yellow line quaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
Noctuidae,lunar underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,,7
Noctuidae,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Noctuidae,blair shouldered knot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
Noctuidae,dun-bar,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,5
Noctuidae,centre barred sallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,3
Noctuidae,meveille du jour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
Noctuidae,brindled green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,clouded drab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,common quaker,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,small quaker,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,hebrew character,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,pale shoudlerd brocade,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,bright line brown eye,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,heart and dart,0,0,0,0,0,0,0,0,2,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,12
Noctuidae,shuttle shaped dart,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,,11
Noctuidae,flame,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,4
Noctuidae,flame shoulder,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,large yellow underwing,0,0,0,0,0,0,0,0,0,0,2,4,17,0,50,71,6,0,0,0,0,0,0,0,0,0,,150
Noctuidae,broad bordered yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,lesser broad bordered yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,1,0,0,0,0,0,0,0,0,0,0,,29
Noctuidae,lesser yellow underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,,4
Noctuidae,dotted clay,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,2
Noctuidae,square spot rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,setaceous hebrew character,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
Noctuidae,double square spot,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Nolidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Notodontidae,coxcomb prominent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Notodontidae,swallow prominent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Saturnidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sessidae,currant clearwing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sphingidae,elephant hawk moth,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4
Sphingidae,poplar hawk moth,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Zygaenidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
