Taxon,Site,Gridref,VC,Recorder,Determiner,Date,Quantity,Method,Sex,Stage,Status,Comment
Mesapamea didyma,1,N/A,62,P,P,28/07/2023,3,NHBS Actinic light trap,,Adult,,
Agrotis exclamationis,1,N/A,62,P,P,28/07/2023,2,NHBS Actinic light trap,,Adult,,
Mythimna pallens,1,N/A,62,P,P,28/07/2023,2,NHBS Actinic light trap,,Adult,,
Mythimna ferrago,1,N/A,62,P,P,28/07/2023,2,NHBS Actinic light trap,,Adult,,
Herminia tarsipennalis,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Gandaritis pyraliata,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Eupithecia linariata,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Bryophila domestica,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Apamea remissa,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Mythimna impura,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Xestia xanthographa,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Notodonta dromedarius,1,N/A,62,P,P,28/07/2023,1,NHBS Actinic light trap,,Adult,,
Leptologia macilenta,1,N/A,62,P,P,08/10/2023,7,NHBS Actinic light trap,,Adult,,
Leptologia lota,1,N/A,62,P,P,08/10/2023,6,NHBS Actinic light trap,,Adult,,
Xestia c-nigrum,1,N/A,62,P,P,08/10/2023,4,NHBS Actinic light trap,,Adult,,
Epirrita dilutata agg.,1,N/A,62,P,P,08/10/2023,2,NHBS Actinic light trap,,Adult,,
Allophyes oxyacanthae,1,N/A,62,P,P,08/10/2023,2,NHBS Actinic light trap,,Adult,,
Phlogophora meticulosa,1,N/A,62,P,P,08/10/2023,2,NHBS Actinic light trap,,Adult,,
Lithophane leautieri,1,N/A,62,P,P,08/10/2023,2,NHBS Actinic light trap,,Adult,,
Aporophyla nigra,1,N/A,62,P,P,08/10/2023,2,NHBS Actinic light trap,,Adult,,
Noctua pronuba,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
Thera britannica,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
Acronicta psi,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
Xanthia togata,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
Eupsilia transversa,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
Griposia aprilina,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
Noctua comes,1,N/A,62,P,P,08/10/2023,1,NHBS Actinic light trap,,Adult,,
